"","Claim Type","Property Name","Property Address","Incident Location","Incident DateTime","Reported By","Date Reported","Reported Phone","Created Date"
"","General Liability","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","Hyd b","8/23/2018","sdfsdf","8/24/2018","","8/20/2018"
"","General Liability","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","3558 Piedmont Road, NE","8/23/2018","Manish Report","8/24/2018","","8/20/2018"
"","PropertyDamage","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","3558 Piedmont Road, NE","8/18/2018","Reported by Person","8/20/2018","232-232-3232","8/20/2018"
"","PropertyDamage","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","3558 Piedmont Road, NE","8/18/2018","Reported by Person","8/20/2018","232-232-3232","8/20/2018"
"","PropertyDamage","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","3558 Piedmont Road, NE","8/18/2018","Reported by Person","8/20/2018","232-232-3232","8/20/2018"
"","PropertyDamage","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","3558 Piedmont Road, NE.","8/2/2018","sekhar","8/17/2018","334-334-3333","8/18/2018"
"","Mold Damage","ARIUM ALAFAYA TRAIL","2590 GREENHILL WAY,OVIEDO,FL","Hyderabads","8/17/2018","sekhar","8/23/2018","464-646-4645","8/14/2018"
"","PropertyDamage","ARIUM CROSSROADS","12655 CROSSROADS PARK DR,HOUSTON ,TX","Incident Location Hyderabad","8/1/2018","Morning Star Person","8/3/2018","333-333-3333","8/17/2018"
"","PropertyDamage","ARIUM EMERALD ISLE","214 RACETRACK ROAD ,FORT WALTON,FL","location incident","8/2/2018","CP Sekhar","8/3/2018","566-566-6566","8/17/2018"
"","PropertyDamage","ARIUM EMERALD ISLE","214 RACETRACK ROAD ,FORT WALTON,FL","location incident","8/2/2018","CP Sekhar","8/3/2018","566-566-6566","8/17/2018"
